artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type,birth_place,birth_date,death_place,death_date,gender,citizenship,occupation,work_locations
Utagawa Toyokuni,Japanese,Utagawa school,{Edo period (1603–1867):30},,,,,,1769.0,1825.0,"Japan, US, Chicago, IL",,{Ukiyo-e:30},"{Japan:4},{Chicago:1},{IL:1},{US:1}",No,Painting/Sculpture,Shiba,1769,Edo,1825,male,Japan,"['ukiyo-e artist', 'xylographer', 'illustrator']","{'location': 'Japan', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Yokoyama Taikan,,,,,,,,,1900.0,1944.0,"Japan, Tokyo",,,"{Japan:21},{Tokyo:1}",No,Painting/Sculpture,Mito,1868,Taitō-ku,1958,male,Japan,painter,[]
Mi Fu,,,,,,,,,,,China,,,{China:1},,Painting/Sculpture,Jiangsu,1051,Kaifeng,1107,male,Northern Song dynasty,"['calligrapher', 'collector', 'connoisseur', 'painter', 'poet']","{'location': 'China', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Tawaraya Sōtatsu,,,,,,,,,,,"Japan, Kyoto",,,"{Kyoto:2},{Japan:3}",,Painting/Sculpture,Kyoto,1570,Japan,1643,male,Japan,painter,[]
Itō Jakuchū,,,,,,,,,1789.0,1791.0,Japan,,,{Japan:2},No,Painting/Sculpture,Nishiki Market,1716,Manpuku-ji,1800,male,Japan,painter,[]
Ogata Kenzan,,,,,,,,,,,Japan,,"{Raku ware:3}, {unknown workshop:3}",{Japan:1},,Painting/Sculpture,Kyoto,1663,Tokyo,1743,male,Japan,"['ceramicist', 'potter', 'painter']",[]
Alexander Gardner,,,,,,,,,1860.0,1867.0,"Washington, KS, Gettysburg, United States, America, Pennsylvania",,,"{Gettysburg:1},{Pennsylvania:1},{United States:2},{KS:2},{America:1},{Washington:1}",No,Painting/Sculpture,Paisley,1821,"Washington, D.C.",1882,male,United Kingdom of Great Britain and Ireland,"['war photographer', 'photographer']","[{'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Washington, D.C.', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Missouri', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Mississippi', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Kansas', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'United Kingdom', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Robert Henri,American,"Eight,Ashcan School",{New Realism (American Realism):263},"Edward Hopper,","Edward Hopper,","Edward Hopper,George Bellows,Rockwell Kent,","Parsons School of Design (Chase School, New York School of Art), New York City, NY, US,","John French Sloan,George Luks,William James Glackens,",1890.0,1928.0,"US, Chicago, AL, IL, Sarasota",American Realism:1890-1928,{American Realism:261},"{AL:1},{US:3},{Chicago:1},{IL:1},{Sarasota:1}",No,Painting/Sculpture,Cincinnati,1865,New York City,1929,male,United States of America,painter,"[{'location': 'Amsterdam', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Atlantic City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Santa Fe', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Volendam', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Haarlem', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Philadelphia', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Woodstock', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Maruyama Ōkyo,,,,,,,,,1759.0,1786.0,Japan,,,{Japan:1},No,Painting/Sculpture,Kameoka,1733,Kyoto,1795,male,Japan,painter,[]
Gustave Le Gray,,,,,,,,,1848.0,1870.0,"Italy, Chalons, Normandy, Palermo, Sicily,, France, Paris, Vienne, Baalbek, Lyon, Le Havre, Lebanon",,,"{Chalons:24},{France:62},{Baalbek:1},{Lebanon:1},{Paris:16},{Palermo, Sicily,:1},{Italy:1},{Vienne:1},{Normandy:3},{Lyon:1},{Le Havre:1}",No,Painting/Sculpture,Villiers-le-Bel,1820,Cairo,1884,male,France,"['daguerreotypist', 'painter', 'photographer']",[]
Federico Barocci,,,{Baroque:1},,,,,,1586.0,1858.0,"London, Italy, England",,{Art of the Counter Reform / Altarpiece:1},"{Italy:1},{London:1},{England:1}",No,Painting/Sculpture,Urbino,1535,Urbino,1612,male,Italy,"['drawer', 'printmaker', 'painter']",[]
Robert Delaunay,French,"École de Paris,Der Blaue Reiter (The Blue Rider),Société des Artistes Indépendants (Society of Independent Artists),La Ruche",{Orphism (Simultanism):32},"Paul Gauguin,Henri Rousseau,Georges Seurat,Pablo Picasso,Claude Monet,Pont-Aven School,","Aristarkh Lentulov,Der Blaue Reiter (The Blue Rider),Post-Painterly Abstraction,Abstract Expressionism,Paul Klee,August Macke,Marc Chagall,Wassily Kandinsky,Diego Rivera,",,,"Marc Chagall,Fernand Leger,Jean Metzinger,Roman Selsky,Margit Selska,Józef Pankiewicz,",1904.0,1939.0,"US, Germany, St. Louis, Washington DC, Chicago, Karlsruhe, IL, Munich, Paris, France, NY, Madrid, Spain, MO, Switzerland, Basel, New York City","Orphism:1909-1939,Post-Impressionism:1904-1906","{Orphism:30}, {Post-Impressionism:2}","{Karlsruhe:2},{Germany:3},{Munich:1},{Paris:2},{France:2},{Washington DC:1},{US:8},{New York City:5},{NY:5},{Madrid:1},{Spain:1},{Basel:1},{Switzerland:1},{St. Louis:1},{MO:1},{Chicago:1},{IL:1}",No,Painting/Sculpture,Paris,1885,Montpellier,1941,male,France,"['theatre designer', 'designer', 'visual artist', 'painter']","[{'location': 'Pont-Aven', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Spain', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Félicien Rops,,,,,,,,,1875.0,1885.0,,,,,No,Painting/Sculpture,Namur,1833,Essonnes,1898,male,Belgium,"['drawer', 'printmaker', 'etcher', 'caricaturist', 'painter', 'comics artist', 'illustrator', 'photographer']","{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Théodore Rousseau,,,"{Barbizon school:1},{Realism:1},{Romanticism:1}",,,,,,1830.0,1861.0,"France, Barbizon",,,"{France:4},{Barbizon:1}",No,Painting/Sculpture,Paris,1812,Barbizon,1867,male,France,"['drawer', 'visual artist', 'graphic artist', 'painter', 'photographer']",[]
Carl Mydans,,,,,,,,,1901.0,1978.0,,,,,No,Painting/Sculpture,Boston,1907,Larchmont,2004,male,United States of America,"['journalist', 'photojournalist', 'photographer']",[]
David Douglas Duncan,,,,,,,,,1950.0,1950.0,,,,,No,Painting/Sculpture,Kansas City,1916,Grasse,2018,male,United States of America,"['war photographer', 'journalist', 'photojournalist', 'military officer', 'writer', 'photographer']",[]
Joan Miró,,,,,,,,,1900.0,1983.0,,,,,,Painting/Sculpture,Barcelona,1893,Palma de Mallorca,1983,male,Spain,"['tapestry designer', 'lithographer', 'textile artist', 'ceramicist', 'designer', 'scenographer', 'postage stamp designer', 'graphic artist', 'sculptor', 'painter']","[{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Barcelona', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Kingdom of the Netherlands', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Palma de Mallorca', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Belgium', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Lucas Cranach the Younger,,,"{German Renaissance:2},{Northern Renaissance:2},{Renaissance:2}",,,,,,1537.0,1564.0,"Wittenberg, Germany",,,"{Wittenberg:1},{Germany:1}",No,Painting/Sculpture,Lutherstadt Wittenberg,1515,Lutherstadt Wittenberg,1586,male,Holy Roman Empire,"['painter', 'engraver', 'politician']","{'location': 'Lutherstadt Wittenberg', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Duchenne de Boulogne,,,,,,,,,1854.0,1862.0,"Paris, France",,,"{Paris:1},{France:1}",No,Painting/Sculpture,Boulogne-sur-Mer,1806,Paris,1875,male,France,"['physiologist', 'neurologist', 'physician', 'photographer']",[]
William Notman,,,,,,,,,1862.0,1896.0,"Québec, Montreal, Canada",,,"{Montreal:2},{Québec:2},{Canada:2}",No,Painting/Sculpture,Paisley,1826,Montreal,1891,male,United Kingdom of Great Britain and Ireland,"['photographer', 'entrepreneur', 'businessperson']","[{'location': 'Niagara Falls', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Halifax', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Cambridge', 'start_time': None, 'end_time': None, 'point_in_time': '1875-01-01T00:00:00Z'}, {'location': 'Philadelphia', 'start_time': '1876-01-01T00:00:00Z', 'end_time': '1890-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Boston', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Toronto', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Ottawa', 'start_time': None, 'end_time': None, 'point_in_time': '1868-01-01T00:00:00Z'}, {'location': 'Montreal', 'start_time': '1856-01-01T00:00:00Z', 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Larry Burrows,,,,,,,,,1926.0,1971.0,Vietnam,,,{Vietnam:1},No,Painting/Sculpture,London,1926,Laos,1971,male,United Kingdom,"['war photographer', 'journalist', 'photojournalist', 'photographer']",[]
Bill Eppridge,,,,,,,,,1963.0,1972.0,,,,,No,Painting/Sculpture,Buenos Aires,1938,Danbury,2013,male,United States of America,"['journalist', 'photojournalist', 'photographer']",[]
Berenice Abbott,,,,,,,,,1924.0,1954.0,"France, Paris, New York, United States",,,"{New York:6},{United States:3},{France:2},{Paris:1}",No,Painting/Sculpture,Springfield,1898,Monson,1991,female,United States of America,"['architectural photographer', 'artist', 'photographer']","[{'location': 'Maine', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Berlin', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Tani Bunchō,,,,,,,,,1797.0,1815.0,,,,,No,Painting/Sculpture,Negishi,1763,Shitaya,1841,male,Japan,"['painter', 'writer']","{'location': 'Tokyo', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Vilhelm Hammershøi,,,,,,,,,,,Denmark,,,{Denmark:2},,Painting/Sculpture,Copenhagen,1864,Copenhagen,1916,male,Denmark,painter,"{'location': 'Copenhagen', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Peter Henry Emerson,,,,,,,,,1886.0,1895.0,"London, East Anglia, Suffolk, England, Great Britain",,,"{Great Britain:12},{England:56},{London:49},{East Anglia:1},{Suffolk:1}",No,Painting/Sculpture,Sagua La Grande,1856,Falmouth,1936,male,United Kingdom,"['writer', 'photographer']",[]
Eugène Isabey,,,,,,,,,1830.0,1861.0,France,,,{France:2},No,Painting/Sculpture,Paris,1803,Montévrain,1886,male,France,"['watercolorist', 'lithographer', 'painter']",[]
Paul Sandby,,,"{Rococo:5},{Romanticism:3}",,,,,,1768.0,1809.0,"London, Scotland",,,"{London:61},{Scotland:59}",No,Painting/Sculpture,Nottingham,1725,London,1809,male,United Kingdom of Great Britain and Ireland,"['printmaker', 'topographer', 'graphic artist', 'painter']",[]
Maxime Du Camp,,,,,,,,,1849.0,1853.0,"Philae, Ibsamboul, Cairo, Luxor, Israel, Palestine, Lille, Giza, France, Egypt, Kalabscheh, Jerusalem, Thebes",,,"{France:9},{Ibsamboul:3},{Egypt:13},{Jerusalem:3},{Palestine:3},{Israel:3},{Thebes:3},{Kalabscheh:1},{Lille:1},{Luxor:1},{Giza:1},{Cairo:1},{Philae:1}",No,Painting/Sculpture,Paris,1822,Baden-Baden,1894,male,France,"['literary critic', 'art critic', 'journalist', 'poet', 'writer', 'photographer']","{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Eliot Porter,,,,,,,,,,,"New Mexico, Utah, Maine",,,"{New Mexico:4},{Maine:1},{Utah:3}",,Painting/Sculpture,Winnetka,1901,Santa Fe,1990,male,United States of America,photographer,[]
Jan van de Velde,,,,,,,,,1614.0,1639.0,"Rotterdam, Utrecht, Northern Netherlands, Amsterdam",,,"{Utrecht:1},{Northern Netherlands:36},{Amsterdam:4},{Rotterdam:3}",No,Painting/Sculpture,Antwerp,1568,Haarlem,1623,male,Netherlands,"['calligrapher', 'drawer', 'engraver', 'musical instrument maker', 'goldsmith', 'inspector of weights and measures', 'instrument maker', 'graphic artist', 'painter', 'etcher']","[{'location': 'Rotterdam', 'start_time': '1592-01-01T00:00:00Z', 'end_time': '1620-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Haarlem', 'start_time': '1620-01-01T00:00:00Z', 'end_time': '1623-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Haarlem', 'start_time': '1670-01-01T00:00:00Z', 'end_time': '1686-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Copenhagen', 'start_time': '1636-01-01T00:00:00Z', 'end_time': '1641-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Haarlem', 'start_time': '1642-01-01T00:00:00Z', 'end_time': '1649-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'England', 'start_time': '1655-01-01T00:00:00Z', 'end_time': '1656-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Amsterdam', 'start_time': None, 'end_time': None, 'point_in_time': '1658-01-01T00:00:00Z'}, {'location': 'Amsterdam', 'start_time': '1630-01-01T00:00:00Z', 'end_time': '1636-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Stockholm', 'start_time': '1649-01-01T00:00:00Z', 'end_time': '1655-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Bruges', 'start_time': '1790-01-01T00:00:00Z', 'end_time': '1796-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Bruges', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Marcel Breuer,,,,,,,,,1928.0,1936.0,Hungary,,,{Hungary:1},No,Painting/Sculpture,Pécs,1902,New York City,1981,male,Kingdom of Hungary,"['designer', 'university teacher', 'architect', 'furniture designer']","[{'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Wiesbaden', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Zürich', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Weimar', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Charles-Nicolas Cochin,,,,,,,,,1745.0,1755.0,,,,,No,Painting/Sculpture,Paris,1688,Paris,1754,male,France,"['engraver', 'art critic', 'visual artist', 'graphic artist', 'painter', 'artist']","{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
David Octavius Hill,,,,,,,,,1843.0,1844.0,"Great Britain, United Kingdom, Scotland",,,"{Great Britain:1},{Scotland:1},{United Kingdom:1}",No,Painting/Sculpture,Perth,1802,Edinburgh,1870,male,United Kingdom of Great Britain and Ireland,"['lithographer', 'painter', 'photographer']",[]
Heinrich Aldegrever,,,"{German Renaissance:91},{Northern Renaissance:91},{Renaissance:91}",,,,,,1540.0,1555.0,Germany,,,{Germany:65},No,Painting/Sculpture,Paderborn,1502,Soest,1561,male,Germany,"['glass painter', 'drawer', 'engraver', 'printmaker', 'designer', 'painter', 'illustrator', 'goldsmith']","[{'location': 'Bruges', 'start_time': '1523-01-01T00:00:00Z', 'end_time': '1523-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1523-01-01T00:00:00Z', 'end_time': '1523-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Soest', 'start_time': '1525-01-01T00:00:00Z', 'end_time': '1555-01-01T00:00:00Z', 'point_in_time': None}]"
George Frederic Watts,,,"{Realism:1},{Academic art:1},{Symbolism:2}",,,,,,1866.0,1878.0,,,,,No,Painting/Sculpture,London,1817,Compton,1904,male,United Kingdom of Great Britain and Ireland,"['sculptor', 'painter']",[]
Wilhelm Lehmbruck,,,"{Naturalism:1},{Modern art:1}",,,,,,1913.0,1918.0,,,,,No,Painting/Sculpture,Duisburg,1881,Berlin,1919,male,German Empire,"['drawer', 'graphic artist', 'sculptor', 'painter', 'illustrator']",[]
Nicolas de Largillière,,,,,,,,,1686.0,1800.0,"France, Paris",,,"{France:3},{Paris:1}",No,Painting/Sculpture,Paris,1656,Paris,1746,male,France,"['portraitist', 'architectural draftsperson', 'painter']","[{'location': 'Great Britain', 'start_time': '1675-01-01T00:00:00Z', 'end_time': '1679-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1680-01-01T00:00:00Z', 'end_time': '1746-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'London', 'start_time': '1686-01-01T00:00:00Z', 'end_time': '1688-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Great Britain', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1662-01-01T00:00:00Z', 'end_time': '1674-01-01T00:00:00Z', 'point_in_time': None}]"
Simon Bening,,,"{Dutch and Flemish Renaissance painting:22},{Northern Renaissance:22},{Renaissance:22}",,,,,,1525.0,1550.0,"Belgium, Bruges",,,"{Bruges:114},{Belgium:114}",No,Painting/Sculpture,Ghent,1483,Bruges,1561,male,Southern Netherlands,"['miniaturist', 'painter', 'illuminator', 'illustrator']","[{'location': 'Ghent', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bruges', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Rudolf Stingel,,,{Contemporary art:3},,,,,,1999.0,1999.0,,,,,,Painting/Sculpture,Merano,1956,,,male,Italy,"['drawer', 'painter']","[{'location': 'Los Angeles', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
George E. Ohr,,,,,,,,,1895.0,1910.0,,,,,No,Painting/Sculpture,Biloxi,1857,New Orleans,1918,male,United States of America,"['ceramicist', 'designer', 'visual artist']",[]
Christian Krohg,,,"{Realism:3},{Modern art:4}",,,,,,1888.0,1888.0,,,,,No,Painting/Sculpture,Vestre Aker,1852,Oslo,1925,male,Norway,"['journalist', 'painter', 'professor', 'writer']",[]
Gerard ter Borch,,,,,,,,,1658.0,1660.0,"Netherlands, Amsterdam",,{Northern Netherlands School:1},"{Amsterdam:2},{Netherlands:1}",No,Painting/Sculpture,Zwolle,1583,Zwolle,1662,male,Dutch Republic,painter,[]
Adolphe Braun,,,,,,,,,1854.0,1906.0,"Dornach, Italy, Geneva, France, Paris, Florence, Switzerland",,,"{France:21},{Paris:7},{Geneva:1},{Switzerland:3},{Dornach:1},{Florence:1},{Italy:1}",No,Painting/Sculpture,Besançon,1812,Dornach,1877,male,France,"['art historian', 'photographer']","[{'location': 'France', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Papal States', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Blu,,,{Street art:3},,,,,,2010.0,2014.0,"Portugal, La Boca",,,"{La Boca:3},{Portugal:1}",Yes,Painting/Sculpture,Senigallia,1980,,,male,Italy,"['graffiti artist', 'rapper', 'musician', 'film director']","{'location': 'Bologna', 'start_time': None, 'end_time': None, 'point_in_time': None}"
