artist (original),"""Best"" pair",Similarity,Character difference,Operations to transform
Fode,Evode,0.6666666666666666,1,1
Fufu,Fu Yu,0.6666666666666666,1,1
Ghetto,Giotto,0.6666666666666666,2,1
Gaël,Gaahl,0.6666666666666666,1,1
Galaš,Galaton,0.6666666666666666,1,1
Aspa,Anapa,0.6666666666666666,1,1
Mughal,Mashal,0.6666666666666666,2,1
Moskovics,Ignác Roskovics,0.6666666666666666,1,1
Awer,Ander,0.6666666666666666,1,1
Axa,Arotxa,0.6666666666666666,3,1
Niz,Nevhiz,0.6666666666666666,3,1
Nikšić,Nikola Mašić,0.6666666666666666,6,1
Nikšić,Damir Nikšić,0.6666666666666666,6,1
Noksa,Nola,0.6666666666666666,2,1
Nusko,Fedusko,0.6666666666666666,1,1
Nutt,Jim Nutt,0.6666666666666666,4,1
Agnès B.,Agnès Baillon,0.6666666666666666,1,1
Ogan,Jagan,0.6666666666666666,1,1
Nolin,Nola,0.6666666666666666,2,1
Oles,Jules,0.6666666666666666,1,1
