artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type
Edgar Degas,French,,"{Realism:1},{Modern art:4},{Impressionism:2},{Impressionism,Realism:617}","Jean Auguste Dominique Ingres,Michelangelo,Raphael,Titian,Edouard Manet,Eugene Delacroix,","Edward Hopper,Henri Gervex,Paul Gauguin,Mary Cassatt,Walter Sickert,Henri de Toulouse-Lautrec,Pierre-Auguste Renoir,Aaron Shikler,",,,"Edouard Manet,Mary Cassatt,",1844.0,1956.0,"Kunsthalle, Farmington, Northampton, Canada, Toronto, Winterthur, Chicago, Washington DC, Portugal, Pittsburgh, NJ, Glasgow, MA, MI, Liverpool, Boston, Dublin, Argentina, Pasadena, VA, RI, Munich, Japan, NY, MD, Lyon, Oxford, UK, Switzerland, Lisbon, Rochester, Kasama, Baltimore, Detroit, Buffalo, Stockholm, Basel, Zürich, Bremen, Saint Petersburg, Toledo, New Haven, Stuttgart, France, OH, Amsterdam, Rouen, Hiroshima, Denver, Moscow, Tate Britain, Shelburne, San Diego, US, Germany, Netherlands, Israel, MS, Edinburgh, Jerusalem, Paris, Philadelphia, USA, Providence, Pau, Russia, Lausanne, CO, Birmingham, Main, New York City, Hartford, London, CA, Leicester, Norway, Spain, Richmond, MN, Williamstown, Ottawa, IL, Cambridge, Minneapolis, Los Angeles, Laurel, Hamburg, Norfolk, Denmark, VT, Nationalmuseum, Fukuoka, Sweden, Ireland, Frankfurt, Oslo, Los Angeles County Museum of Art, Madrid, Fort Worth, Solothurn, PA","Graphic arts:1860-1862,Impressionism:1854-1910,Japonism:1870-1890,Realism:1855-1868,Neoclassicism:1865-1865","{Graphic arts:1}, {Impressionist:2}, {Nineteenth-Century European PaintingImpressionism and Post-Impressionism:1}, {Impressionism:606}, {Japonism:3}, {Realism:12}, {Neoclassicism:1}","{France:72},{Paris:59},{Madrid:3},{Spain:3},{Philadelphia:8},{PA:11},{US:104},{Williamstown:3},{MA:23},{Oxford:1},{UK:41},{New York City:9},{NY:12},{Denver:2},{CO:2},{Providence:4},{RI:4},{New Haven:4},{Pittsburgh:2},{Buffalo:2},{London:20},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{Norfolk:1},{VA:3},{Oslo:1},{Norway:1},{Saint Petersburg:5},{Russia:7},{Moscow:2},{Tate Britain:3},{Bremen:1},{Germany:8},{Laurel:1},{MS:1},{Chicago:11},{IL:11},{Edinburgh:4},{Washington DC:8},{Stuttgart:4},{Toronto:2},{Canada:5},{Lausanne:1},{Switzerland:10},{Glasgow:10},{Kasama:1},{Japan:3},{Ottawa:3},{NJ:1},{Rochester:1},{Toledo:2},{OH:2},{Solothurn:1},{Basel:3},{Leicester:1},{Boston:10},{Munich:2},{Winterthur:2},{Denmark:2},{Pasadena:9},{CA:11},{Cambridge:10},{Hartford:1},{Richmond:2},{Kunsthalle:2},{Hamburg:4},{Fort Worth:1},{Farmington:3},{Liverpool:1},{Dublin:1},{Ireland:1},{San Diego:1},{USA:1},{Jerusalem:1},{Israel:1},{Shelburne:2},{VT:2},{Amsterdam:1},{Netherlands:1},{Lisbon:2},{Portugal:2},{Birmingham:2},{Argentina:1},{Zürich:2},{Lyon:2},{Detroit:2},{MI:2},{Pau:1},{Frankfurt:1},{Main:1},{Minneapolis:1},{MN:1},{Fukuoka:1},{Hiroshima:1},{Los Angeles County Museum of Art:1},{Los Angeles:1},{Baltimore:2},{MD:2},{Rouen:1},{Northampton:2}",No,Painting/Sculpture
Henri de Toulouse-Lautrec,,,"{Post-Impressionism:14},{Art Nouveau:13},{Modern art:14}",,,,,,1880.0,1901.0,"France, Paris, London",,,"{France:6},{Paris:3},{London:4}",No,Painting/Sculpture
John Constable,British,English school,{Romanticism:117},"Claude Lorrain,Thomas Gainsborough,Peter Paul Rubens,Annibale Carracci,Jacob van Ruisdael,","Alfred Sisley,Jules Dupre,Claude Monet,Barbizon school,Impressionism,Théodore Géricault,Eugene Delacroix,Camille Corot,",,,,1800.0,1837.0,"London, Manchester, Suffolk, Moscow, Ipswich, UK, Spain, Tate Britain, Canada, MO, Toronto, OH, US, Germany, St. Louis, Washington DC, Melbourne, England, Cambridge, Budapest, Edinburgh, Australia, Victoria, MA, Philadelphia, Hungary, Lode, Boston, Berlin, Russia, Toledo, New Haven, CO, Madrid, United Kingdom, PA, Denver",Romanticism:1800-1837,"{Landscape:1}, {Romanticism:115}","{London:63},{Suffolk:21},{England:1},{United Kingdom:1},{St. Louis:1},{MO:1},{US:11},{New Haven:5},{Melbourne:2},{Australia:2},{Toledo:1},{OH:1},{UK:31},{Edinburgh:2},{Moscow:1},{Russia:1},{Cambridge:3},{Madrid:1},{Spain:1},{Victoria:2},{Berlin:1},{Germany:1},{Denver:1},{CO:1},{Tate Britain:1},{Washington DC:1},{Ipswich:3},{Boston:1},{MA:1},{Budapest:1},{Hungary:1},{Lode:1},{Philadelphia:1},{PA:1},{Toronto:1},{Canada:1},{Manchester:1}",No,Painting/Sculpture
Gim Hongdo,,,,,,,,,1745.0,1806.0,,,,,No,Painting/Sculpture
Utamaro,,,,,,,,,1787.0,1803.0,Japan,,,{Japan:26},No,Painting/Sculpture
René Lalique,,,,,"France,",,,"Artists1/René Lalique/Orchids Diadem##EAHg4G1jA0I1Dw.jpg,",1897.0,1955.0,"Paris, France",,,"{Paris:3},{France:16}",No,Painting/Sculpture
Claude Lorrain,French,,"{Baroque:8},{Baroque,Rococo:88}","Annibale Carracci,","John Constable,Aelbert Cuyp,Jan Dirksz Both,Camille Corot,Joseph Anton Koch,",,"Agostino Tassi,Claude Deruet,","Nicolas Poussin,Salvator Rosa,",1630.0,1682.0,"London, Moscow, CA, Museo del Prado, UK, Kunsthalle, Spain, MO, Oxford, Rome, US, Germany, Chicago, Netherlands, St. Louis, IL, Cambridge, Tokyo, Edinburgh, Australia, Los Angeles, Italy, MA, Hamburg, Paris, Florence, Boston, Berlin, Sydney, Russia, Saint Petersburg, Frankfurt, New Haven, Los Angeles County Museum of Art, Munich, France, Madrid, Fort Worth, Japan, Amsterdam, Birmingham, Main","Classicism:1630-1682,Baroque:1630-1669,Rococo:1634-1677","{Classicism:70}, {Baroque:11}, {Rococo:7}","{Italy:7},{France:10},{Rome:5},{Museo del Prado:4},{Madrid:5},{Spain:5},{London:15},{UK:19},{Oxford:1},{Frankfurt:1},{Main:1},{Germany:7},{Boston:2},{MA:2},{US:8},{Fort Worth:2},{Kunsthalle:1},{Hamburg:2},{Munich:3},{Chicago:1},{IL:1},{Amsterdam:2},{Netherlands:2},{Saint Petersburg:3},{Russia:4},{Cambridge:1},{Moscow:1},{Edinburgh:1},{New Haven:1},{Paris:6},{Tokyo:1},{Japan:1},{Birmingham:1},{Berlin:2},{St. Louis:1},{MO:1},{Florence:1},{Sydney:1},{Australia:1},{Los Angeles County Museum of Art:1},{Los Angeles:1},{CA:1}",No,Painting/Sculpture
Albert Bierstadt,"American,German",Hudson River School,"{Luminism:3},{Hudson River School:3},{Romanticism:327}",,,,,,1850.0,1900.0,"Georgia, CA, Spain, Pittsfield, MO, Newark, Tbilisi, Seattle, US, St. Louis, Washington DC, Winston-Salem, Cambridge, Columbus, NJ, New York City, Youngstown, MA, AL, San Francisco, Mount Washington, Detroit, MI, Buffalo, Boston, Toledo, WY, New Haven, NY, Madrid, Fort Worth, OH, NC, WA, United States, Hartford","Luminism:1850-1900,Realism:1864-1900,Romanticism:1855-1889","{Luminism:285}, {Realism:10}, {Romanticism:32}","{Mount Washington:1},{United States:1},{WY:4},{US:32},{New York City:3},{NY:4},{Boston:5},{MA:7},{Madrid:3},{Spain:3},{Tbilisi:1},{Georgia:1},{San Francisco:6},{CA:4},{Toledo:1},{OH:3},{Pittsfield:1},{Winston-Salem:1},{NC:1},{Seattle:1},{WA:1},{Fort Worth:1},{Youngstown:1},{Columbus:1},{Hartford:1},{AL:1},{Cambridge:1},{New Haven:1},{Detroit:1},{MI:1},{St. Louis:1},{MO:1},{Washington DC:1},{Buffalo:1},{Newark:1},{NJ:1}",No,Painting/Sculpture
Jean-François Millet,,,,,,,,,1840.0,1874.0,"France, Barbizon",,,"{France:6},{Barbizon:1}",No,Painting/Sculpture
Annibale Carracci,Italian,Bolognese School,{Baroque:91},"Venetian School,Florentine School,Raphael,Andrea del Sarto,","Bolognese School,Claude Lorrain,John Constable,Jacques-Louis David,","Guido Reni,","Titian,",,1580.0,1609.0,"London, Karlsruhe, UK, Museo del Prado, Spain, Oxford, Rome, US, Germany, Cambridge, Milan, Chantilly, Brazil, Italy, Naples, Austria, Paris, Florence, Vienna, Russia, Saint Petersburg, Orleans, Stuttgart, France, Madrid, Fort Worth, Rio de Janeiro",Baroque:1580-1609,{Baroque:81},"{Italy:20},{Rome:7},{Milan:1},{Fort Worth:1},{US:1},{Florence:6},{Karlsruhe:1},{Germany:2},{Orleans:2},{France:11},{Naples:2},{Paris:8},{London:3},{UK:5},{Saint Petersburg:3},{Russia:3},{Vienna:1},{Austria:1},{Chantilly:1},{Cambridge:1},{Rio de Janeiro:1},{Brazil:1},{Museo del Prado:2},{Madrid:2},{Spain:2},{Stuttgart:2},{Oxford:1}",No,Painting/Sculpture
Wassily Kandinsky,Russian,"Blue Rose,Der Blaue Reiter (The Blue Rider),Bauhaus,Degenerate art,Der Sturm","{Expressionism,Abstract Art:220}","Edvard Munch,Aristarkh Lentulov,Robert Delaunay,Paul Cezanne,Claude Monet,","Josef Albers,Egon Schiele,Georgia O'Keeffe,Karl Otto Gotz,Nasreen Mohamedi,William Baziotes,Arshile Gorky,Hans Hofmann,",,,"Paul Klee,Franz Marc,Alexej von Jawlensky,Vadym Meller,",1898.0,1942.0,"Georgia, Moscow, Rotterdam, CA, UK, Kunsthalle, Spain, Switzerland, Tbilisi, US, Germany, Netherlands, Washington DC, Riehen, Chicago, IL, Edinburgh, Hamburg, Paris, Stockholm, Vézelay, Zürich, Cologne, Ekaterinburg, Sweden, Pasadena, Russia, Saint Petersburg, Stuttgart, Munich, France, NY, Japan, Düsseldorf, Madrid, Oxford, New York City","Abstract Art:1910-1942,Expressionism:1910-1925,Abstract Expressionism:1925-1925,Post-Impressionism:1901-1908,Art Nouveau (Modern):1898-1902","{Abstract Art:137}, {Expressionism:56}, {Abstract Expressionism:1}, {Post-Impressionism:23}, {Art Nouveau (Modern):3}","{France:46},{Paris:35},{Stockholm:1},{Sweden:1},{New York City:30},{NY:30},{US:35},{Moscow:12},{Russia:17},{Washington DC:1},{Switzerland:7},{Zürich:1},{Vézelay:1},{Munich:41},{Germany:48},{Düsseldorf:4},{Rotterdam:2},{Netherlands:2},{Edinburgh:1},{UK:2},{Pasadena:1},{CA:1},{Cologne:1},{Japan:1},{Ekaterinburg:1},{Riehen:2},{Chicago:3},{IL:3},{Saint Petersburg:3},{Tbilisi:1},{Georgia:1},{Stuttgart:2},{Kunsthalle:1},{Hamburg:2},{Oxford:1},{Madrid:1},{Spain:1}",No,Painting/Sculpture
Shitao,Chinese,,{Qing Dynasty (1644–1912):80},,,,,,1656.0,1707.0,China,Ink and wash painting:1656-1707,{Ink and wash painting:80},{China:1},No,Painting/Sculpture
Margaret Bourke-White,,,{Social realism:6953},,,,,,1885.0,1982.0,,,,,,Painting/Sculpture
Alfred Eisenstaedt,,,,,,,,,1901.0,1993.0,,,,,,Painting/Sculpture
Ogata Kōrin,,,,,,,,,1700.0,1700.0,Japan,,"{Raku ware:1}, {unknown workshop:1}",{Japan:3},No,Painting/Sculpture
Santiago Rusiñol,,,{Modern art:2},,,,,,1898.0,1911.0,"Paris, Granada",Modernism/Simbolism:1898-1908,"{Modernism/Simbolism:2}, {Modernism:3}","{Granada:2},{Paris:8}",No,Painting/Sculpture
Jean-Baptiste-Siméon Chardin,,,{Realism:1},,,,,,1728.0,1753.0,,,,,No,Painting/Sculpture
