style,artist,movement,count
Abstract Art,Endre Rozsda,Surrealism,7
Abstract Art,Enrico Prampolini,Futurism,10
Abstract Art,Erik Bulatov,Sots Art,3
Abstract Art,Etienne Hajdu,Abstract Art,14
Abstract Art,Fernand Leger,Cubism,2
Abstract Art,Fernando García Ponce,Abstract Art,1
Abstract Art,Fernando Lanhas,Abstract Art,14
Abstract Art,Fernando de Szyszlo,Abstract Art,14
Abstract Art,Francis Picabia,Abstract Art,12
Abstract Art,Frantisek Kupka,Abstract Art,1
Abstract Art,Franz Marc,Expressionism,2
Abstract Art,Félix Del Marle,Abstract Art,4
Abstract Art,Gabriele Munter,Expressionism,1
Abstract Art,George Saru,Abstract Art,24
Abstract Art,Georges Troubat,Abstract Art,12
Abstract Art,Georgia O'Keeffe,Precisionism,19
Abstract Art,Gerardo Dottori,Futurism,2
Abstract Art,Giacomo Balla,Futurism,6
Abstract Art,Gio Pomodoro,Abstract Art,16
Abstract Art,Gogi Khutsishvili,Post-Impressionism,7
Abstract Art,Gosta Adrian-Nilsson,Cubism,4
Abstract Art,Grace Pailthorpe,Surrealism,5
Abstract Art,Gregorio Vardanega,Kinetic art,2
Abstract Art,Hale Woodruff,Harlem Renaissance (New Negro Movement),4
Abstract Art,Hans Richter,Dada,6
Abstract Art,Henri Matisse,Impressionism,3
Abstract Art,Henry Moore,Abstract Art,20
Abstract Art,Henryk Streng,Cubism,1
Abstract Art,Hilma af Klint,Abstract Art,18
Abstract Art,Hossein Zenderoudi,Abstract Art,5
Abstract Art,Hélène de Beauvoir,Modernism,8
Abstract Art,Ion Alin Gheorghiu,Abstract Art,15
Abstract Art,Ion Pacea,Post-Impressionism,3
Abstract Art,Ivan Marchuk,Magic Realism,3
Abstract Art,Jacoba van Heemskerck,Expressionism,9
Abstract Art,Jacques Villon,Cubism,6
Abstract Art,Janos Mattis-Teutsch,Constructivism,59
Abstract Art,Javad Hamidi,Modernism,1
Abstract Art,Jean Arp,Abstract Art,3
Abstract Art,Jean David,Surrealism,1
Abstract Art,Jean Fautrier,Existential Art,4
Abstract Art,Jean Helion,Abstract Art,11
Abstract Art,Jean Hugo,Cubism,1
Abstract Art,Jiménez Deredia,Art Deco,3
Abstract Art,Joaquim Rodrigo,Modernismo,7
Abstract Art,Joaquin Torres Garcia,Constructivism,15
Abstract Art,Johannes Itten,Expressionism,24
Abstract Art,John Altoon,Abstract Expressionism,2
Abstract Art,John Ferren,Abstract Art,16
Abstract Art,John Marin,Expressionism,5
Abstract Art,John McLaughlin,Minimalism,3
Abstract Art,Jorge Martins,Pop Art,5
Abstract Art,Jose de Almada-Negreiros,Art Nouveau,4
Abstract Art,Josef Albers,Abstract Art,7
Abstract Art,Josef Capek,Expressionism,1
Abstract Art,Josef Sima,Abstract Art,15
Abstract Art,Julius Evola,Futurism,1
Abstract Art,Kaloust Guedel,Excessivism,2
Abstract Art,Karlo Zvirynsky,Abstract Art,16
Abstract Art,Lajos Kassak,Constructivism,3
Abstract Art,Lawren Harris,Art Nouveau,16
Abstract Art,Lee Krasner,Abstract Art,1
Abstract Art,Li Yuan-chia,Abstract Art,4
Abstract Art,Lino Tagliapietra,Contemporary,4
Abstract Art,Lois Mailou Jones,Harlem Renaissance (New Negro Movement),1
Abstract Art,Louis Schanker,Cubism,3
Abstract Art,Lyubov Popova,Cubism,11
Abstract Art,M.F. Husain,Cubism,2
Abstract Art,Man Ray,Dada,10
Abstract Art,Manuel Felguérez,Abstract Art,15
Abstract Art,Marcel Janco,Dada,2
Abstract Art,Maria Helena Vieira da Silva,Abstract Art,5
Abstract Art,Mark Rothko,Abstract Art,4
Abstract Art,Marsden Hartley,Abstract Art,8
Abstract Art,Martha Boto,Kinetic art,4
Abstract Art,Mathias Goeritz,Minimalism,1
Abstract Art,Michel Seuphor,Abstract Art,15
Abstract Art,Milton Avery,Post-Impressionism,1
Abstract Art,Mladen Stilinovic,Conceptual Art,1
Abstract Art,Mordecai Ardon,Abstract Art,3
Abstract Art,Natalia Goncharova,Avant-garde,1
Abstract Art,Nemanja Vučković,Abstract Art,3
Abstract Art,Nina Tokhtaman Valetova,Magic Realism,1
Abstract Art,Ossip Zadkine,Expressionism,1
Abstract Art,Otto Freundlich,Abstract Art,14
Abstract Art,Paul Klee,Expressionism,52
Abstract Art,Paul Nash,Abstract Art,7
Abstract Art,Perle Fine,Abstract Art,6
Abstract Art,Petros Malayan,Expressionism,1
Abstract Art,Pierre Daura,Post-Impressionism,1
Abstract Art,Princess Fahrelnissa Zeid,Abstract Art,12
Abstract Art,Rashid Al Khalifa,Contemporary Realism,18
Abstract Art,Requena Nozal,Abstract Expressionism,2
Abstract Art,Richard Pousette-Dart,Abstract Art,10
Abstract Art,Rita Angus,Modernism,1
Abstract Art,Rochelle Blumenfeld,Post-Painterly Abstraction,1
Abstract Art,Roger Weik,Abstract Art,8
Abstract Art,Roman Selsky,Impressionism,4
Abstract Art,Roy Lichtenstein,Pop Art,18
Abstract Art,Rudolf Bauer,Abstract Art,13
Abstract Art,S. H. Raza,Art Informel,16
Abstract Art,Sally Gabori,Contemporary,12
Abstract Art,Salvador Dali,Surrealism,3
Abstract Art,Serge Charchoune,Abstract Art,12
Abstract Art,Sofia Areal,Abstract Art,13
Abstract Art,Sonia Delaunay,Avant-garde,1
Abstract Art,Sophie Taeuber-Arp,Dada,6
Abstract Art,Stanisław Ignacy Witkiewicz,Expressionism,1
Abstract Art,Stepan Ryabchenko,New media art,1
Abstract Art,Stig Brøgger,Conceptual Art,10
Abstract Art,Theo van Doesburg,Abstract Art,11
Abstract Art,Theodore Roszak,Abstract Art,10
Abstract Art,Thiago Boecan,Abstract Art,7
Abstract Art,Tiberiy Szilvashi,Abstract Art,51
Abstract Art,Tihamer Gyarmathy,Abstract Art,34
Abstract Art,Toyen,Surrealism,2
Abstract Art,Valentin Khrushch,Abstract Art,2
Abstract Art,Valerii Lamakh,Socialist Realism,7
Abstract Art,Vanessa Bell,Post-Impressionism,2
Abstract Art,Vera Nedkova,Expressionism,1
Abstract Art,Victor Hugo,Symbolism,1
Abstract Art,Victor Pasmore,Abstract Art,8
Abstract Art,Victor Servranckx,Cubism,7
Abstract Art,Victor Vasarely,Op Art,11
Abstract Art,Vladimir Tatlin,Abstract Art,3
Abstract Art,Volodymyr Loboda,Soviet Nonconformist Art,1
Abstract Art,Walter Battiss,Abstract Art,7
Abstract Art,Wassily Kandinsky,Expressionism,141
Abstract Art,Willi Baumeister,Abstract Art,44
Abstract Art,Winifred Nicholson,Post-Impressionism,2
Abstract Art,Wladyslaw Strzeminski,Abstract Art,11
Abstract Art,Wolfgang Paalen,Surrealism,11
Abstract Art,Yiannis Moralis,Expressionism,22
Abstract Art,Yuri Zlotnikov,Abstract Art,33
Abstract Art,[ a y s h ],Futurism,1
Abstract Expressionism,Aaron Siskind,Abstract Expressionism,23
Abstract Expressionism,Abidin Dino,Magic Realism,18
Abstract Expressionism,Ad Reinhardt,Abstract Expressionism,5
Abstract Expressionism,Adja Yunkers,Abstract Expressionism,8
Abstract Expressionism,Adnan Coker,Abstract Art,3
Abstract Expressionism,Adolph Gottlieb,Abstract Expressionism,26
Abstract Expressionism,Aki Kuroda,Contemporary,18
Abstract Expressionism,Al Held,Abstract Art,3
Abstract Expressionism,Albert Irvin,Abstract Art,15
Abstract Expressionism,Alexander Bogen,Expressionism,49
Abstract Expressionism,Alexander Calder,Kinetic art,22
Abstract Expressionism,Alexander Liberman,Post-Painterly Abstraction,5
Abstract Expressionism,Alfred Freddy Krupa,New Ink Art,1
Abstract Expressionism,Alfred Jensen,Post-Painterly Abstraction,27
Abstract Expressionism,Alice Baber,Abstract Art,18
Abstract Expressionism,Alice Rahon,Abstract Expressionism,18
Abstract Expressionism,Allan Kaprow,Performance Art,3
Abstract Expressionism,Alma Woodsey Thomas,Harlem Renaissance (New Negro Movement),3
Abstract Expressionism,Alvaro Lapa,Abstract Art,22
Abstract Expressionism,Andy Warhol,Pop Art,3
Abstract Expressionism,Anne Ryan,Abstract Expressionism,26
Abstract Expressionism,Anton Heyboer,Minimalism,9
Abstract Expressionism,Antonio Corpora,Abstract Art,16
Abstract Expressionism,Armand Vaillancourt,Abstract Expressionism,8
Abstract Expressionism,Arshile Gorky,Surrealism,11
Abstract Expressionism,Arthur Pinajian,Abstract Expressionism,17
Abstract Expressionism,Atsuko Tanaka,Neo-Dada,16
Abstract Expressionism,Audrey Flack,Abstract Expressionism,5
Abstract Expressionism,Avigdor Arikha,Expressionism,11
Abstract Expressionism,Barnett Newman,Abstract Art,6
Abstract Expressionism,Basil Beattie,Abstract Expressionism,17
Abstract Expressionism,Basuki Abdullah,Realism,2
Abstract Expressionism,Beauford Delaney,Modernism,11
Abstract Expressionism,Behjat Sadr,Abstract Expressionism,15
Abstract Expressionism,Bernard Cohen,Abstract Art,1
Abstract Expressionism,Betty Parsons,Abstract Expressionism,32
Abstract Expressionism,Blinky Palermo,Abstract Art,15
Abstract Expressionism,Bradley Walker Tomlin,Abstract Art,20
Abstract Expressionism,Brett Whiteley,Neo-Expressionism,5
Abstract Expressionism,Brice Marden,Abstract Art,49
Abstract Expressionism,Bruno Cassinari,Expressionism,5
Abstract Expressionism,Bui Xuan Phai,Expressionism,7
Abstract Expressionism,Burhan Dogancay,Pop Art,3
Abstract Expressionism,Charles Garabedian,Contemporary Realism,10
Abstract Expressionism,Charles Gibbons,Abstract Expressionism,7
Abstract Expressionism,Clarence Holbrook Carter,Magic Realism,9
Abstract Expressionism,Clyfford Still,Abstract Art,14
Abstract Expressionism,Conrad Marca-Relli,Abstract Art,52
Abstract Expressionism,Craig Kauffman,Light and Space,5
Abstract Expressionism,Cricorps,Impressionism,1
Abstract Expressionism,Cy Twombly,Abstract Expressionism,85
Abstract Expressionism,Daan Lemaire,Abstract Expressionism,15
Abstract Expressionism,Dan Christensen,Abstract Expressionism,14
Abstract Expressionism,Dan Flavin,Minimalism,1
Abstract Expressionism,David Hare,Surrealism,4
Abstract Expressionism,David Smith,Abstract Expressionism,11
Abstract Expressionism,Donald Judd,Minimalism,2
Abstract Expressionism,Douglas Huebler,Conceptual Art,1
Abstract Expressionism,Ed Clark,Abstract Expressionism,21
Abstract Expressionism,Eduardo Nery,Abstract Illusionism,6
Abstract Expressionism,Edward Corbett,Abstract Art,9
Abstract Expressionism,Edward Ruscha,Pop Art,3
Abstract Expressionism,Elaine de Kooning,Abstract Expressionism,23
Abstract Expressionism,Eleonora Brigalda Barbas,Contemporary,1
Abstract Expressionism,Elmer Bischoff,Expressionism,5
Abstract Expressionism,Endre Balint,Expressionism,2
Abstract Expressionism,Enrique Silvestre,Outsider art (Art brut),6
Abstract Expressionism,Esteban Vicente,Abstract Art,42
Abstract Expressionism,Etel Adnan,Abstract Art,3
Abstract Expressionism,Eva Hesse,Arte Povera,6
Abstract Expressionism,Fernando García Ponce,Abstract Art,12
Abstract Expressionism,Frank Bowling,Abstract Expressionism,10
Abstract Expressionism,Frank Lobdell,Abstract Expressionism,16
Abstract Expressionism,Frank Stella,Post-Painterly Abstraction,32
Abstract Expressionism,Frederic Matys Thursz,Minimalism,4
Abstract Expressionism,Frederick Hammersley,Post-Painterly Abstraction,1
Abstract Expressionism,Friedel Dzubas,Abstract Art,22
Abstract Expressionism,Gandy Brodie,Abstract Expressionism,17
Abstract Expressionism,Gary Wragg,Abstract Art,7
Abstract Expressionism,Gebre Kristos Desta,Abstract Expressionism,10
Abstract Expressionism,Gene Davis,Post-Painterly Abstraction,16
Abstract Expressionism,George Stefanescu,Post-Impressionism,83
Abstract Expressionism,Georgia O'Keeffe,Precisionism,2
Abstract Expressionism,Gerhard Richter,Abstract Art,29
Abstract Expressionism,Gil Nicolescu,Modernism,9
Abstract Expressionism,Giorgio Cavallon,Abstract Art,11
Abstract Expressionism,Glenn Brown,Contemporary,5
Abstract Expressionism,Gotthard Graubner,Abstract Expressionism,5
Abstract Expressionism,Guido Molinari,Post-Painterly Abstraction,6
Abstract Expressionism,Gunther Forg,Abstract Art,15
Abstract Expressionism,Hannelore Baron,Abstract Expressionism,17
Abstract Expressionism,Hans Hofmann,Abstract Art,75
Abstract Expressionism,Hassan Massoudy,Contemporary,19
Abstract Expressionism,Hassel Smith,Abstract Art,13
Abstract Expressionism,Hedda Sterne,Surrealism,11
Abstract Expressionism,Helen Frankenthaler,Abstract Expressionism,36
Abstract Expressionism,Henri Matisse,Impressionism,44
Abstract Expressionism,Hilma af Klint,Abstract Art,1
Abstract Expressionism,Horia Bernea,Neo-Orthodoxism,8
Abstract Expressionism,Howard Hodgkin,Abstract Expressionism,20
Abstract Expressionism,Howard Mehring,Post-Painterly Abstraction,12
Abstract Expressionism,Huang Yongyu,Republic of China (1912–1949),3
Abstract Expressionism,Ilse D'Hollander,Abstract Expressionism,2
Abstract Expressionism,Irma Blank,Minimalism,2
Abstract Expressionism,Ivan Eyre,Surrealism,1
Abstract Expressionism,Ivan Marchuk,Magic Realism,1
Abstract Expressionism,Jack Tworkov,Abstract Art,19
Abstract Expressionism,Jackson Pollock,Abstract Art,33
Abstract Expressionism,James Brooks,Abstract Expressionism,38
Abstract Expressionism,Jane Frank,Abstract Expressionism,12
Abstract Expressionism,Jasper Johns,Abstract Expressionism,24
Abstract Expressionism,Jay DeFeo,Abstract Expressionism,18
Abstract Expressionism,Jean-Paul Riopelle,Abstract Art,22
Abstract Expressionism,Jimmy Ernst,Abstract Expressionism,38
Abstract Expressionism,Joan Miro,Surrealism,6
Abstract Expressionism,Joan Mitchell,Abstract Art,61
Abstract Expressionism,Joan Snyder,Abstract Expressionism,21
Abstract Expressionism,Jock Macdonald,Surrealism,5
Abstract Expressionism,Joe Goode,Abstract Expressionism,20
Abstract Expressionism,Joe Tilson,Pop Art,4
Abstract Expressionism,John Altoon,Abstract Expressionism,6
Abstract Expressionism,John Cage,Abstract Expressionism,22
Abstract Expressionism,John Ferren,Abstract Art,22
Abstract Expressionism,John Hoyland,Abstract Expressionism,34
Abstract Expressionism,John McCracken,Minimalism,5
Abstract Expressionism,Jose Guerrero,Abstract Expressionism,31
Abstract Expressionism,Julio Pomar,Social Realism,13
Abstract Expressionism,Jurgen Partenheimer,Conceptual Art,10
Abstract Expressionism,Karlo Zvirynsky,Abstract Art,1
Abstract Expressionism,Kazuo Nakamura,Abstract Expressionism,28
Abstract Expressionism,Kazuo Shiraga,Abstract Expressionism,10
Abstract Expressionism,Kenzo Okada,Abstract Expressionism,16
Abstract Expressionism,Larry Bell,Minimalism,1
Abstract Expressionism,Larry Zox,Abstract Art,1
Abstract Expressionism,Lech Twardowski,Contemporary,2
Abstract Expressionism,Lee Bontecou,Abstract Art,42
Abstract Expressionism,Lee Krasner,Abstract Art,22
Abstract Expressionism,Leiko Ikemura,Neo-Expressionism,2
Abstract Expressionism,Leo Valledor,Abstract Expressionism,1
Abstract Expressionism,Louis Schanker,Cubism,11
Abstract Expressionism,Louise Nevelson,Abstract Expressionism,15
Abstract Expressionism,Luchita Hurtado,Magic Realism,7
Abstract Expressionism,M.F. Husain,Cubism,12
Abstract Expressionism,Makinti Napanangka,Contemporary,126
Abstract Expressionism,Manabu Mabe,Abstract Art,23
Abstract Expressionism,Manoucher Yektai,Abstract Expressionism,26
Abstract Expressionism,Manuel Cargaleiro,Abstract Expressionism,7
Abstract Expressionism,Manuel Neri,Neo-Expressionism,3
Abstract Expressionism,Marc Horowitz,Contemporary,24
Abstract Expressionism,Marcel Barbeau,Abstract Art,10
Abstract Expressionism,Marcia Hafif,Abstract Expressionism,3
Abstract Expressionism,Mario Cesariny,Surrealism,1
Abstract Expressionism,Mark Lancaster,Post-Painterly Abstraction,12
Abstract Expressionism,Mark Rothko,Abstract Art,18
Abstract Expressionism,Mark Tobey,Abstract Expressionism,78
Abstract Expressionism,Mark di Suvero,Abstract Expressionism,14
Abstract Expressionism,Martin Chirino,Abstract Expressionism,14
Abstract Expressionism,Martyl Langsdorf,Precisionism,1
Abstract Expressionism,Mathias Goeritz,Minimalism,8
Abstract Expressionism,Melissa Meyer,Abstract Expressionism,17
Abstract Expressionism,Milton Resnick,Abstract Art,21
Abstract Expressionism,Mordecai Ardon,Abstract Art,7
Abstract Expressionism,Morris Graves,Abstract Expressionism,1
Abstract Expressionism,Morris Louis,Abstract Expressionism,10
Abstract Expressionism,Moshe Kupferman,Abstract Expressionism,22
Abstract Expressionism,Mostafa Dashti,Contemporary,17
Abstract Expressionism,Myron Stout,Minimalism,3
Abstract Expressionism,Nasreen Mohamedi,Minimalism,3
Abstract Expressionism,Neil Welliver,Contemporary Realism,2
Abstract Expressionism,Nemanja Vučković,Abstract Art,4
Abstract Expressionism,Nicolas Carone,Abstract Art,10
Abstract Expressionism,Noguchi Isamu,Abstract Art,15
Abstract Expressionism,Norman Bluhm,Abstract Expressionism,7
Abstract Expressionism,Norman Lewis,Harlem Renaissance (New Negro Movement),14
Abstract Expressionism,Oswaldo Vigas,Expressionism,5
Abstract Expressionism,Oyvind Fahlstrom,Neo-Dada,2
Abstract Expressionism,Pat Lipsky,Abstract Expressionism,3
Abstract Expressionism,Paul Guiragossian,Expressionism,3
Abstract Expressionism,Paul Jenkins,Abstract Art,12
Abstract Expressionism,Paul Klee,Expressionism,1
Abstract Expressionism,Paul Reed,Post-Painterly Abstraction,23
Abstract Expressionism,Paul Wonner,Contemporary Realism,1
Abstract Expressionism,Pedro Coronel,Muralism,9
Abstract Expressionism,Perle Fine,Abstract Art,25
Abstract Expressionism,Peter Busa,Abstract Expressionism,4
Abstract Expressionism,Philip Guston,Abstract Expressionism,15
Abstract Expressionism,Phillip King,New Generation Sculpture,5
Abstract Expressionism,Pol Bury,Kinetic art,4
Abstract Expressionism,Rafa Nasiri,Contemporary,18
Abstract Expressionism,Ralph Hotere,Minimalism,11
Abstract Expressionism,Ralph Rosenborg,Abstract Expressionism,13
Abstract Expressionism,Raoul Ubac,Surrealism,26
Abstract Expressionism,Requena Nozal,Abstract Expressionism,33
Abstract Expressionism,Reuben Nakian,Expressionism,3
Abstract Expressionism,Richard Diebenkorn,Abstract Expressionism,36
Abstract Expressionism,Richard Hambleton,Street art,9
Abstract Expressionism,Richard Pousette-Dart,Abstract Art,43
Abstract Expressionism,Richard Smith,Post-Painterly Abstraction,1
Abstract Expressionism,Richard Tuttle,Minimalism,4
Abstract Expressionism,Richards Ruben,Abstract Expressionism,18
Abstract Expressionism,Robert Goodnough,Abstract Art,40
Abstract Expressionism,Robert Huot,Post-Painterly Abstraction,2
Abstract Expressionism,Robert Motherwell,Abstract Expressionism,30
Abstract Expressionism,Robert Nickle,Abstract Expressionism,13
Abstract Expressionism,Robert Rauschenberg,Neo-Dada,3
Abstract Expressionism,Roberto Matta,Surrealism,2
Abstract Expressionism,Rochelle Blumenfeld,Post-Painterly Abstraction,1
Abstract Expressionism,Rodolfo Arico,Post-Painterly Abstraction,9
Abstract Expressionism,Roger Weik,Abstract Art,370
Abstract Expressionism,Romare Bearden,Harlem Renaissance (New Negro Movement),5
Abstract Expressionism,Ronald Davis,Post-Painterly Abstraction,2
Abstract Expressionism,Ronnie Landfield,Abstract Expressionism,27
Abstract Expressionism,Rosemarie Beck,Expressionism,1
Abstract Expressionism,Sally Gabori,Contemporary,1
Abstract Expressionism,Salvador Dali,Surrealism,11
Abstract Expressionism,Sam Gilliam,Abstract Expressionism,28
Abstract Expressionism,Samia Halaby,Abstract Expressionism,2
Abstract Expressionism,Sherrie Levine,Conceptual Art,2
Abstract Expressionism,Sohrab Sepehri,Neo-Expressionism,11
Abstract Expressionism,Sonya Rapoport,CyberArt,1
Abstract Expressionism,Stephen Mueller,Abstract Expressionism,8
Abstract Expressionism,Taro Yamamoto,Abstract Expressionism,13
Abstract Expressionism,Terry Frost,Abstract Art,30
Abstract Expressionism,Theodoros Stamos,Abstract Expressionism,39
Abstract Expressionism,Toko Shinoda,Abstract Art,26
Abstract Expressionism,Tove Jansson,Modernism,5
Abstract Expressionism,Tsuruko Yamazaki,Abstract Expressionism,8
Abstract Expressionism,Ulfert Wilke,Abstract Art,11
Abstract Expressionism,Vahram Gayfedjian,Post-Impressionism,1
Abstract Expressionism,Vasile Dobrian,Social Realism,15
Abstract Expressionism,Victor Hugo,Symbolism,7
Abstract Expressionism,Victor Pasmore,Abstract Art,9
Abstract Expressionism,Victor Zaretsky,Socialist Realism,4
Abstract Expressionism,Vilen Barsky,Soviet Nonconformist Art,37
Abstract Expressionism,Walasse Ting,Abstract Expressionism,10
Abstract Expressionism,Warren Rohrer,Minimalism,4
Abstract Expressionism,Wassily Kandinsky,Expressionism,1
Abstract Expressionism,William Baziotes,Surrealism,29
Abstract Expressionism,William Congdon,Abstract Expressionism,15
Abstract Expressionism,William Saroyan,Abstract Expressionism,12
Abstract Expressionism,William Scott,Abstract Expressionism,26
Abstract Expressionism,William Tucker,New Generation Sculpture,2
Abstract Expressionism,William Turnbull,Abstract Expressionism,14
Abstract Expressionism,Wolfgang Paalen,Surrealism,5
Abstract Expressionism,Yayoi Kusama,Feminist Art,1
Abstract Expressionism,Yuri Zlotnikov,Abstract Art,1
Academicism,Achille Beltrame,Art Nouveau,2
Academicism,Achille Zo,Academic Art,8
Academicism,Adalbert Schaffer,Academic Art,12
Academicism,Adolf Hirémy-Hirschl,Symbolism,1
Academicism,Adolphe Yvon,Romanticism,2
Academicism,Albert Aublet,Academic Art,3
Academicism,Albert Edelfelt,Realism,1
Academicism,Albert Joseph Moore,Academic Art,43
Academicism,Albert Maignan,Academic Art,11
Academicism,Albrecht Anker,Realism,3
Academicism,Alexander Ivanov,Academic Art,63
Academicism,Alexandre Antigna,Realism,3
Academicism,Alexandre Cabanel,Academic Art,71
Academicism,Alexandre-Jacques Chantron,Academic Art,10
Academicism,Alfred Freddy Krupa,New Ink Art,3
Academicism,Anders Zorn,Realism,1
Academicism,Antonio Cabral Bejarano,Romanticism,2
Academicism,Antonio Ciseri,Romanticism,8
Academicism,Armando Montaner Valdueza,Realism,2
Academicism,Arturo Michelena,Romanticism,1
Academicism,August von Pettenkofen,Realism,1
Academicism,Auguste Toulmouche,Academic Art,31
Academicism,Beauford Delaney,Modernism,1
Academicism,Bertalan Szekely,Romanticism,2
Academicism,Briton Riviere,Academic Art,25
Academicism,Carl Bloch,Academic Art,33
Academicism,Charles Gleyre,Romanticism,34
Academicism,Charles Martin Powell,Academic Art,16
Academicism,Charles Sprague Pearce,Academic Art,8
Academicism,Charles Victor Thirion,Academic Art,14
Academicism,Charles-Amable Lenoir,Academic Art,1
Academicism,Charles-Philippe Lariviere,Academic Art,33
Academicism,Christian Wilhelm Allers,Naturalism,1
Academicism,Christina Robertson,Academic Art,32
Academicism,Claude Monet,Impressionism,1
Academicism,Domenico Induno,Romanticism,13
Academicism,Edouard Debat-Ponsan,Academic Art,15
Academicism,Edward Poynter,Academic Art,30
Academicism,Emmanuel Zairis,Impressionism,1
Academicism,Ernest Hébert,Romanticism,9
Academicism,Ernest Meissonier,Academic Art,45
Academicism,Ettore Tito,Academic Art,5
Academicism,Eugene Bidau,Academic Art,9
Academicism,Eugene de Blaas,Academic Art,96
Academicism,Francesc Masriera,Art Nouveau,8
Academicism,Francesco Beda,Orientalism,6
Academicism,Francesco Hayez,Romanticism,7
Academicism,Francis Davis Millet,Academic Art,11
Academicism,Frederic Leighton,Academic Art,105
Academicism,Frederick McCubbin,Impressionism,2
Academicism,Fyodor Bronnikov,Romanticism,35
Academicism,Gabriel Ferrier,Romanticism,2
Academicism,Georg Pauli,Symbolism,2
Academicism,George Demetrescu Mirea,Academic Art,14
Academicism,George Folingsby,Academic Art,11
Academicism,George Frederick Watts,Symbolism,39
Academicism,Giovanni (Nino) Costa,Academic Art,1
Academicism,Giovanni Costa,Academic Art,4
Academicism,Giulio Rosati,Orientalism,2
Academicism,Giuseppe Mazzolini,Academic Art,15
Academicism,Giuseppe de Nittis,Impressionism,2
Academicism,Guillaume Seignac,Academic Art,47
Academicism,Gustave Boulanger,Academic Art,7
Academicism,Gustave-Claude-Etienne Courtois,Academic Art,8
Academicism,Henri-Paul Motte,Academic Art,12
Academicism,Henri-Pierre Picou,Academic Art,35
Academicism,Henryk Siemiradzki,Romanticism,75
Academicism,Herbert James Draper,Academic Art,49
Academicism,Hermann David Salomon Corrodi,Romanticism,5
Academicism,Jan Sluyters,Post-Impressionism,1
Academicism,Jean Benner,Academic Art,13
Academicism,Jean Béraud,Academic Art,4
Academicism,Jean Lecomte du Nouÿ,Romanticism,6
Academicism,Jean-André Rixens,Academic Art,5
Academicism,Jean-François Portaels,Orientalism,34
Academicism,Jean-Leon Gerome,Romanticism,84
Academicism,Jean-Paul Laurens,Academic Art,13
Academicism,Jehan Georges Vibert,Academic Art,26
Academicism,Joaquín Agrasot,Realism,1
Academicism,Jose Ferraz de Almeida Junior,Realism,13
Academicism,Joseph Binder,Academic Art,6
Academicism,Joseph Ducreux,Rococo,2
Academicism,Joseph-Noël Sylvestre,Academic Art,7
Academicism,José Garnelo,Naturalism,2
Academicism,Jules Bastien-Lepage,Realism,3
Academicism,Jules Breton,Realism,2
Academicism,Jules Joseph Lefebvre,Academic Art,11
Academicism,Jules-Frédéric Ballavoine,Academic Art,28
Academicism,Konstantin Bogaevsky,Symbolism,5
Academicism,Konstantin Makovsky,Romanticism,15
Academicism,Konstantin Vasilyev,Symbolism,1
