artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places,PlacesYears,StylesYears,StylesCount,PlacesCount,Contemporary,Type
Georgia O'Keeffe,,,,,,,,,1916.0,1963.0,"Brooklyn, NM, Abiquiu, United States","Brooklyn:1949-1949,Abiquiu:1954-1954,NM:1954-1954,United States:1954-1954",,,"{Brooklyn:1},{Abiquiu:1},{NM:1},{United States:1}",No,
John Singer Sargent,American,,"{Modern art:2},{Realism,Impressionism:796}","Tintoretto,Michelangelo,Titian,Diego Velazquez,Anthony van Dyck,Thomas Gainsborough,","Aaron Shikler,Pino Daeni,",,"Carolus-Duran,Leon Bonnat,","Julian Alden Weir,",1852.0,1925.0,"Northampton, Chicago, Washington DC, NE, Pittsburgh, Glasgow, MA, MI, Florence, Boston, Dublin, VA, RI, Japan, NY, MD, Oxford, Massachusetts, UK, KS, Rochester, Melbourne, Baltimore, Omaha, Detroit, Buffalo, ME, Venice, Toledo, New Haven, France, OH, South Africa, United Kingdom, Rouen, United States, Tate Britain, Southampton, US, Andover, Israel, Museums, Edinburgh, Australia, Youngstown, Italy, Johannesburg, Paris, Philadelphia, Providence, Aberdeen, Birmingham, New York City, Hartford, London, Montpellier, CA, Dallas, Spain, PA, Richmond, Leeds, Asheville, Sheffield, Williamstown, England, IL, Cambridge, Bradford, Tokyo, Los Angeles, Tel Aviv, Norfolk, Ireland, Los Angeles County Museum of Art, Madrid, Fort Worth, NC","London:1872-1923,United Kingdom:1904-1904,England:1887-1887,Italy:1906-1911,Detroit:1885-1908,MI:1884-1908,US:1875-1925,Chicago:1882-1897,IL:1882-1897,New Haven:1890-1893,New York City:1876-1910,NY:1876-1910,Glasgow:1897-1899,UK:1872-1923,Tate Britain:1881-1923,Rochester:1896-1902,Madrid:1880-1908,Spain:1880-1908,Norfolk:1904-1904,VA:1884-1904,Aberdeen:1886-1910,Boston:1878-1925,MA:1878-1925,Tel Aviv:1910-1910,Israel:1910-1910,Andover:1907-1913,Cambridge:1880-1921,Philadelphia:1875-1911,PA:1875-1911,Omaha:1903-1903,NE:1903-1903,Dublin:1880-1917,Ireland:1880-1917,Melbourne:1912-1912,Australia:1912-1912,Florence:1906-1911,Los Angeles County Museum of Art:1879-1909,Los Angeles:1879-1909,CA:1879-1909,Bradford:1906-1909,Johannesburg:1906-1909,South Africa:1906-1909,Birmingham:1906-1906,Oxford:1906-1906,Providence:1877-1905,RI:1877-1905,Paris:1884-1903,France:1883-1903,Youngstown:1902-1902,OH:1896-1902,Dallas:1900-1900,Tokyo:1897-1897,Japan:1897-1897,Toledo:1896-1896,Asheville:1888-1896,NC:1888-1896,Edinburgh:1894-1894,Pittsburgh:1890-1890,Southampton:1888-1888,Fort Worth:1888-1888,Baltimore:1888-1888,MD:1888-1888,Hartford:1880-1887,ME:1887-1887,Leeds:1886-1886,Rouen:1886-1886,Montpellier:1883-1885,Northampton:1885-1885,Richmond:1884-1884,Museums:1884-1884,Sheffield:1884-1884,Washington DC:1883-1883,KS:1882-1882,Williamstown:1879-1882,Buffalo:1880-1882","Realism:1872-1925,Impressionism:1874-1925,Neoclassicism:1895-1925","{Realism:468}, {Impressionism:316}, {Neoclassicism:12}","{London:42},{United Kingdom:1},{England:1},{United States:2},{Massachusetts:1},{Venice:1},{Italy:3},{Detroit:4},{MI:5},{US:126},{Chicago:3},{IL:3},{New Haven:3},{New York City:30},{NY:33},{Glasgow:3},{UK:58},{Tate Britain:19},{Rochester:2},{Madrid:3},{Spain:3},{Norfolk:1},{VA:2},{Aberdeen:3},{Boston:26},{MA:47},{Tel Aviv:1},{Israel:1},{Andover:3},{Cambridge:16},{Philadelphia:5},{PA:7},{Omaha:2},{NE:2},{Dublin:2},{Ireland:2},{Melbourne:1},{Australia:1},{Florence:2},{Los Angeles County Museum of Art:3},{Los Angeles:4},{CA:4},{Bradford:1},{Johannesburg:2},{South Africa:2},{Birmingham:1},{Oxford:1},{Providence:4},{RI:4},{Paris:3},{France:5},{Youngstown:1},{OH:3},{Dallas:1},{Tokyo:2},{Japan:1},{Toledo:1},{Asheville:5},{NC:5},{Edinburgh:1},{Pittsburgh:1},{Southampton:1},{Fort Worth:1},{Baltimore:1},{MD:1},{Hartford:2},{ME:1},{Leeds:1},{Rouen:1},{Montpellier:1},{Northampton:1},{Richmond:1},{Museums:1},{Sheffield:1},{Washington DC:1},{KS:1},{Williamstown:5},{Buffalo:1}",No,
Paul Cézanne,,,"{Post-Impressionism:20},{Cubism:2},{Modern art:23},{Impressionism:3}",,,,,,1855.0,1970.0,France,France:1877-1906,,"{Post-Impressionism:7}, {Nineteenth-Century European Painting Impressionism and Post-Impressionism:2}",{France:7},No,
Vincent van Gogh,,,"{Neo-impressionism:2},{Post-Impressionism:2}",,,,,,1882.0,1890.0,"Belgium, Antwerp, France, Paris, Nuenen, The Netherlands, Arles, Holland","Arles:1888-1888,France:1888-1888",,"{Nineteenth-Century European PaintingImpressionism and Post-Impressionism:1}, {Post-Impressionism:2}","{Arles:27},{France:78},{Antwerp:5},{Belgium:4},{Paris:25},{Nuenen:13},{The Netherlands:15},{Holland:1}",No,
Gustav Klimt,Austrian,Vienna Secession,"{Symbolism,Art Nouveau:162}",,"Egon Schiele,Oskar Kokoschka,Theo van Doesburg,Art Nouveau,Fedir Krychevsky,Victor Zaretsky,","Fedir Krychevsky,",,"Egon Schiele,Koloman Moser,",1879.0,1918.0,"London, Prague, CA, UK, Piacenza, Canada, Switzerland, Rome, US, Germany, Ottawa, Cambridge, Los Angeles, Italy, Dresden, Albertina, MA, Austria, Paris, Vienna, Zürich, Czech Republic, Moderna, Venice, Munich, France, NY, New York City, Hartford","Austria:1883-1918,New York City:1907-1918,NY:1907-1918,US:1890-1918,Vienna:1883-1918,Piacenza:1916-1917,Italy:1905-1917,Prague:1913-1913,Czech Republic:1901-1913,Venice:1909-1909,Moderna:1905-1905,Rome:1905-1905,Paris:1905-1905,France:1905-1905,London:1904-1904,UK:1904-1904,Cambridge:1903-1903,MA:1903-1903,Ottawa:1903-1903,Canada:1903-1903,Dresden:1902-1902,Germany:1895-1902,Los Angeles:1901-1902,CA:1901-1902,Zürich:1901-1902,Switzerland:1901-1902,Munich:1895-1895,Albertina:1893-1893,Hartford:1890-1890","Art Nouveau (Modern):1883-1918,Symbolism:1885-1918,Japonism:1904-1918,Realism:1879-1894,Romanticism:1888-1890,Neoclassicism:1883-1888","{Art Nouveau (Modern):101}, {Symbolism:51}, {Japonism:7}, {Realism:5}, {Romanticism:2}, {Neoclassicism:3}","{Austria:56},{New York City:4},{NY:3},{US:7},{Vienna:51},{Piacenza:1},{Italy:3},{Prague:2},{Czech Republic:2},{Venice:1},{Moderna:1},{Rome:1},{Paris:1},{France:1},{London:1},{UK:1},{Cambridge:1},{MA:1},{Ottawa:1},{Canada:1},{Dresden:1},{Germany:2},{Los Angeles:1},{CA:1},{Zürich:1},{Switzerland:1},{Munich:1},{Albertina:1},{Hartford:1}",No,
Rembrandt,Dutch,Dutch School,"{Dutch Golden Age:15},{Baroque:781}","Peter Paul Rubens,Caravaggio,Titian,Caravaggisti,","Carel Fabritius,Giovanni Battista Tiepolo,Gustave Courbet,Chaim Soutine,Francis Bacon,Ilya Repin,Andrea Mantegna,Peredvizhniki (Society for Traveling Art Exhibitions),Ferdinand Bol,Piotr Michałowski,Odd Nerdrum,","Carel Fabritius,Nicolaes Maes,Gerrit Dou,Samuel Dirksz van Hoogstraten,Ferdinand Bol,",,,1600.0,1700.0,"Prague, Kunsthalle, Canada, Toronto, Chicago, Washington DC, Haarlem, Hague, Glasgow, MA, Austria, MI, Florence, Boston, Nuremberg, Czech Republic, Dublin, Turin, Pasadena, Groningen, Braunschweig, Munich, NY, Lyon, Oxford, Romania, UK, Switzerland, Melbourne, Brussels, Albertina, Utrecht, Detroit, Stockholm, Basel, Zürich, Bremen, Saint Petersburg, Stuttgart, France, Amsterdam, Moscow, Gothenburg, US, Netherlands, Germany, Israel, Budapest, Edinburgh, Jerusalem, Australia, Italy, Paris, Hungary, Vienna, Berlin, Russia, Montreal, Bucharest, Main, New York City, London, CA, Rotterdam, Museo del Prado, Spain, Ann Arbor, Leiden, MN, Ottawa, IL, Cambridge, Minneapolis, Milan, Los Angeles, Dresden, Hamburg, Nationalmuseum, Belgium, Ireland, Sweden, Frankfurt, Los Angeles County Museum of Art, Madrid, Northern Netherlands, Poland, Holland","Netherlands:1624-1669,Amsterdam:1626-1666,Leiden:1624-1625,France:1625-1668,Holland:1645-1645,Berlin:1627-1659,Germany:1627-1667,Hague:1631-1669,Chicago:1631-1631,IL:1631-1631,US:1626-1666,London:1629-1669,UK:1629-1669,Paris:1626-1668,Munich:1629-1661,Pasadena:1633-1653,CA:1626-1665,Boston:1626-1634,MA:1626-1634,Ottawa:1633-1633,Canada:1633-1665,Saint Petersburg:1630-1669,Russia:1630-1669,Albertina:1635-1637,Vienna:1632-1657,Austria:1630-1657,Jerusalem:1631-1656,Israel:1631-1656,Haarlem:1636-1636,New York City:1630-1658,NY:1630-1658,Stuttgart:1636-1660,Frankfurt:1633-1648,Main:1633-1648,Dresden:1635-1667,Belgium:1632-1641,Brussels:1632-1639,Madrid:1634-1643,Spain:1634-1643,Washington DC:1630-1658,Budapest:1642-1642,Hungary:1642-1646,Groningen:1642-1642,Rotterdam:1627-1662,Dublin:1647-1647,Ireland:1647-1647,Nationalmuseum:1630-1669,Stockholm:1630-1669,Sweden:1630-1669,Montreal:1655-1655,Moscow:1654-1660,Cambridge:1639-1658,Minneapolis:1666-1666,MN:1666-1666,Toronto:1662-1665,Los Angeles:1626-1665,Florence:1634-1669,Italy:1629-1669,Gothenburg:1632-1661,Zürich:1661-1661,Switzerland:1627-1661,Bucharest:1635-1660,Romania:1635-1660,Edinburgh:1645-1645,Detroit:1630-1644,MI:1629-1644,Braunschweig:1638-1640,Melbourne:1638-1638,Australia:1638-1638,Poland:1638-1638,Glasgow:1632-1635,Kunsthalle:1633-1635,Hamburg:1633-1635,Museo del Prado:1634-1634,Prague:1634-1634,Czech Republic:1634-1634,Bremen:1633-1633,Milan:1632-1632,Los Angeles County Museum of Art:1630-1632,Oxford:1630-1630,Ann Arbor:1629-1630,Nuremberg:1629-1630,Turin:1629-1629,Basel:1627-1627,Utrecht:1626-1626,Lyon:1625-1625",Baroque:1624-1669,"{Netherlandish:7}, {Baroque Netherlandish Art/ Portrait:1}, {Northern Netherlands School:8}, {XVII CenturyDutch Painting:1}, {Portrait:1}, {Dutch:1}, {Bible and Christianity:1}, {Baroque:772}","{Netherlands:77},{Amsterdam:46},{Northern Netherlands:1},{Leiden:4},{France:28},{Holland:4},{Berlin:23},{Germany:45},{Hague:10},{Chicago:1},{IL:1},{US:47},{London:36},{UK:49},{Paris:25},{Munich:7},{Pasadena:3},{CA:14},{Boston:5},{MA:5},{Ottawa:1},{Canada:4},{Saint Petersburg:23},{Russia:25},{Albertina:2},{Vienna:6},{Austria:8},{Jerusalem:6},{Israel:6},{Haarlem:1},{New York City:14},{NY:14},{Stuttgart:4},{Frankfurt:3},{Main:3},{Dresden:10},{Belgium:4},{Brussels:1},{Madrid:2},{Spain:2},{Washington DC:7},{Budapest:1},{Hungary:2},{Groningen:1},{Rotterdam:13},{Dublin:1},{Ireland:1},{Nationalmuseum:6},{Stockholm:6},{Sweden:9},{Montreal:1},{Moscow:2},{Cambridge:7},{Minneapolis:1},{MN:1},{Toronto:2},{Los Angeles:10},{Florence:3},{Italy:5},{Gothenburg:3},{Zürich:1},{Switzerland:2},{Bucharest:2},{Romania:1},{Edinburgh:1},{Detroit:4},{MI:5},{Braunschweig:2},{Melbourne:1},{Australia:1},{Poland:1},{Glasgow:2},{Kunsthalle:1},{Hamburg:2},{Museo del Prado:1},{Prague:2},{Czech Republic:1},{Bremen:1},{Milan:1},{Los Angeles County Museum of Art:2},{Oxford:1},{Ann Arbor:1},{Nuremberg:1},{Turin:1},{Basel:1},{Utrecht:1},{Lyon:1}",No,
Albrecht Dürer,,,"{German Renaissance:10},{Northern Renaissance:10},{Renaissance:11}",,,,,,1489.0,1588.0,"Nuremberg, Germany",Germany:1505-1516,,"{Flamish Renaissance/ Portrait:1}, {German Renaissance:4}, {Nuremberg:2}, {Flamish Renaissance/ Altarpiece:1}, {XVI CenturyGerman Painting:1}, {German Mannerism:1}","{Germany:4},{Nuremberg:1}",No,
Raphael,Italian,Umbrian school,"{High Renaissance:186},{Italian Renaissance:1},{Renaissance:1}","Albrecht Durer,Paolo Uccello,Luca Signorelli,Michelangelo,Hans Memling,","Giorgio de Chirico,Annibale Carracci,Jacopo Bassano,Paul Gauguin,Francisco Pacheco,Titian,Nicolas Poussin,Edgar Degas,Pierre-Auguste Renoir,Anton Raphael Mengs,Nazarenes,Düsseldorf School of Painting,",,"Pietro Perugino,","Albrecht Durer,",1499.0,1520.0,"London, Moscow, CA, Museo del Prado, UK, Bergamo, Spain, Rome, Bologna, US, Netherlands, Germany, Washington DC, Vatican, Budapest, Milan, Edinburgh, Chantilly, Victoria, Italy, Dresden, Albertina, Austria, Lille, Urbino, Paris, Hungary, Florence, Vienna, Gemäldegalerie, Berlin, Pasadena, Russia, Saint Petersburg, Munich, France, Madrid, NY, Louvre, Brescia, Amsterdam, Oxford, New York City","Italy:1500-1520,Rome:1503-1520,Paris:1501-1518,France:1501-1518,Vatican:1502-1520,Florence:1500-1520,Amsterdam:1517-1520,Netherlands:1517-1520,Museo del Prado:1507-1518,Madrid:1507-1518,Spain:1507-1518,Vienna:1505-1518,Austria:1505-1518,Edinburgh:1511-1518,UK:1499-1518,Bologna:1513-1516,Victoria:1515-1515,London:1500-1515,Oxford:1499-1515,Washington DC:1505-1515,US:1503-1515,Albertina:1515-1515,Dresden:1513-1513,Germany:1502-1513,Lille:1511-1513,Munich:1506-1512,Chantilly:1504-1509,Budapest:1504-1508,Hungary:1504-1508,Berlin:1502-1508,Urbino:1507-1507,Brescia:1500-1506,Moscow:1506-1506,Russia:1502-1506,Gemäldegalerie:1505-1505,New York City:1504-1505,NY:1504-1505,Milan:1504-1504,Pasadena:1503-1503,CA:1503-1503,Louvre:1503-1503,Saint Petersburg:1502-1502",High Renaissance:1499-1520,"{Renaissance/ Portrait:1}, {Italian:2}, {Renaissance/ Private devotional painting:1}, {Italian Renaissance:1}, {High Renaissance:185}","{Italy:57},{Rome:17},{Paris:13},{France:17},{Vatican:53},{Florence:27},{Amsterdam:1},{Netherlands:1},{Museo del Prado:7},{Madrid:8},{Spain:8},{Vienna:3},{Austria:3},{Edinburgh:2},{UK:19},{Bologna:3},{Victoria:6},{London:14},{Oxford:3},{Washington DC:5},{US:7},{Albertina:1},{Dresden:1},{Germany:10},{Lille:1},{Munich:3},{Chantilly:3},{Budapest:2},{Hungary:2},{Berlin:9},{Urbino:2},{Brescia:3},{Moscow:1},{Russia:2},{Gemäldegalerie:1},{New York City:1},{NY:1},{Milan:2},{Pasadena:1},{CA:1},{Louvre:1},{Bergamo:1},{Saint Petersburg:1}",No,
Nic Aluf,,,"{Geometric abstraction:1},{Abstract art:1}",,,,,,,,,,,,,,
Frank Henry Mason,,,{Art Deco:1},,,,,,,,,,,,,,
Bon,,,{Street art:2},,,,,,2013.0,2013.0,"Bangkok, Thailand, San SaepBangkok Thailand","San SaepBangkok Thailand:2013-2013,Bangkok:2013-2013,Thailand:2013-2013",,,"{San SaepBangkok Thailand:1},{Bangkok:1},{Thailand:1}",Yes,
Paul Troger (attr.),,,{Rococo:2},,,,,,1745.0,1745.0,,,,,,No,
Kobayashi Eitaku,,,{Ukiyo-e:2},,,,,,,,,,,,,,
Artist: Utagawa Hiroshige II,,,{Ukiyo-e:24},,,,,,,,,,,,,,
Artist: Ogata Gekko,,,{Ukiyo-e:6},,,,,,,,,,,,,,
Artist: Kobayashi Kiyochika,,,{Ukiyo-e:30},,,,,,,,,,,,,,
Guillaume Guillon-Lethière,,,{Neoclassicism:1},,,,,,,,,,,,,,
Charles Louis Lingée after Jean-Honoré Fragonard,,,{Rococo:7},,,,,,,,,,,,,,
Bernard Lepicie after Jean Siméon Chardin,,,{Rococo:4},,,,,,,,,,,,,,
Jacopo Amigoni,,,"{Rococo:3},{Baroque:1},{Renaissance:1}",,,,,,1710.0,1740.0,Italy,,,,{Italy:2},No,
Utagawa Kunisada (Japanese,,,{Ukiyo-e:1},,,,,,,,,,,,,,
Torii Kiyonobu I,,,{Ukiyo-e:1},,,,,,,,,,,,,,
Tsukioka Yoshitoshi,Japanese,Utagawa school,"{Ukiyo-e:3},{Edo period (1603–1867):69}","battles-and-wars,Shinpūren-Rebellion,1876,",,,,"Artists2/Tsukioka Yoshitoshi/Shinp Ren Rebellion 1876.jpg,",1863.0,1891.0,"NY, New York City, US","New York City:1891-1891,NY:1891-1891,US:1891-1891",Ukiyo-e:1863-1891,{Ukiyo-e:69},"{New York City:1},{NY:1},{US:1}",No,
Artist: Hishikawa Morofusa,,,{Ukiyo-e:1},,,,,,,,,,,,,,
Artist: Utagawa Toyokuni I,,,{Ukiyo-e:3},,,,,,,,,,,,,,
Artist: Tsukioka Yoshitoshi,,,{Ukiyo-e:15},,,,,,,,,,,,,,
Artist: Torii Kiyonaga,,,{Ukiyo-e:2},,,,,,,,,,,,,,
Artist: Keisai Eisen,,,{Ukiyo-e:1},,,,,,,,,,,,,,
Artist: Utagawa Kunisada,,,{Ukiyo-e:13},,,,,,,,,,,,,,
Artist: Toyohara Chikanobu,,,{Ukiyo-e:4},,,,,,,,,,,,,,
Kobayashi Kiyochika (1847-1915?) and Matsumoto Heikichi (wood carver),,,{Ukiyo-e:3},,,,,,,,Japan,,,,{Japan:2},,
Artist: Utagawa Kuniyoshi,,,{Ukiyo-e:8},,,,,,,,,,,,,,
Jean-Honoré Fragonard (1732-1806),,,"{Rococo:1},{Renaissance:1}",,,,,,,,,,,,,,
Jean-Baptiste Joseph Pater,,,"{Rococo:1},{Renaissance:1}",,,,,,,,,,,,,,
Louis Marin Bonnet (French,,,{Rococo:1},,,,,,,,,,,,,,
Wiliam Hogarth,,,{Rococo:1},,,,,,1735.0,1735.0,,,,,,No,
Attributed to Francesco Guardi,,,{Rococo:1},,,,,,,,,,,,,,
Louis Crépy after Antoine Watteau,,,{Rococo:3},,,,,,,,,,,,,,
Rosalba Carriera (Italian,,,{Rococo:1},,,,,,,,,,,,,,
Antonio Balestra,,,"{Rococo:2},{Baroque:2}",,,,,,,,,,,,,,
Daniel Berger after Daniel Nikolaus Chodowiecki,,,{Rococo:1},,,,,,,,,,,,,,
Gabriel Huquier after François Boucher,,,{Rococo:2},,,,,,,,,,,,,,
Pierre Louis de Surugue after Jean Siméon Chardin,,,{Rococo:1},,,,,,,,,,,,,,
Jean-Baptiste van Loo,,,{Rococo:2},,,,,,,,Rome,,,"{French painting:2}, {18th century:2}, {Court portrait:2}",{Rome:1},,
Thomas Watson after Sir Joshua Reynolds,,,"{Rococo:2},{Renaissance:1}",,,,,,,,,,,,,,
Paul Revere,American,,{Rococo:34},,,,,,1760.0,1798.0,,,Rococo:1760-1798,{Rococo:32},,No,
Jean Dambrun after Jean-Honoré Fragonard,,,{Rococo:10},,,,,,,,,,,,,,
Louis-Marin Bonnet after Juste-François Boucher,,,{Rococo:1},,,,,,,,,,,,,,
Louis-Marin Bonnet after François Boucher,,,"{Rococo:7},{Classicism:1}",,,,,,,,,,,,,,
James Watson after Pierre-Etienne Falconet,,,{Rococo:1},,,,,,,,,,,,,,
Jean-Baptiste Tilliard after Jean-Honoré Fragonard,,,{Rococo:3},,,,,,,,,,,,,,
Jean-Baptiste-Michel Dupreel after Jean-Honoré Fragonard,,,{Rococo:3},,,,,,,,,,,,,,
Joseph Wagner after Canaletto,,,{Rococo:5},,,,,,,,,,,,,,
after Jean-Honoré Fragonard,,,{Rococo:5},,,,,,,,,,,,,,
Louis Petit after Jean-Honoré Fragonard,,,{Rococo:4},,,,,,,,,,,,,,
Jacques-Firmin Beauvarlet after Jean-Honoré Fragonard,,,{Rococo:2},,,,,,,,,,,,,,
Jean Dambrun and Jean-Baptiste Tilliard after Jean-Honoré Fragonard,,,{Rococo:4},,,,,,,,,,,,,,
Charles Emmanuel Patas after Jean-Honoré Fragonard,,,{Rococo:7},,,,,,,,,,,,,,
Pierre-Francois Courtois after Augustin de Saint-Aubin,,,{Rococo:2},,,,,,,,,,,,,,
John Bluck after Thomas Rowlandson,,,{Rococo:2},,,,,,,,,,,,,,
Attributed to Donato Creti,,,"{Rococo:6},{Baroque:3}",,,,,,,,,,,,,,
Jacques-Philippe Le Bas after Jean Siméon Chardin,,,{Rococo:3},,,,,,,,,,,,,,
James Watson after Sir Joshua Reynolds,,,"{Rococo:2},{Neoclassicism:1}",,,,,,,,,,,,,,
after Antoine Watteau,,,{Rococo:1},,,,,,,,,,,,,,
Antoine Francois Dennel after Jean-Honoré Fragonard,,,{Rococo:1},,,,,,,,,,,,,,
Joseph Wagner (publisher) after Jacopo Amigoni,,,{Rococo:5},,,,,,,,,,,,,,
Martin Marvie after Jean-Baptiste Oudry,,,{Rococo:3},,,,,,,,,,,,,,
Quentin-Pierre Chedel after Jean-Baptiste Oudry,,,{Rococo:4},,,,,,,,,,,,,,
Antoine Radigues after Jean-Baptiste Oudry,,,{Rococo:1},,,,,,,,,,,,,,
Pierre Etienne Moitte after Jean-Baptiste Oudry,,,{Rococo:2},,,,,,,,,,,,,,
Pierre-Laurent Auvray after Jean-Honoré Fragonard,,,{Rococo:2},,,,,,,,,,,,,,
Jean Charles Levasseur after Jean-Baptiste Greuze,,,{Rococo:1},,,,,,,,,,,,,,
François-Philippe Charpentier after Jean-Honoré Fragonard,,,{Rococo:1},,,,,,,,,,,,,,
John Jones after Sir Joshua Reynolds,,,{Rococo:1},,,,,,,,,,,,,,
Elie du Mesnil after Jean-Baptiste Oudry,,,{Rococo:2},,,,,,,,,,,,,,
Louis-Simon Lempereur after Jean-Baptiste Oudry,,,{Rococo:4},,,,,,,,,,,,,,
A.-J. de Fehrt after Jean-Baptiste Oudry,,,{Rococo:3},,,,,,,,,,,,,,
Benoît-Louis Prévost after Jean-Baptiste Oudry,,,{Rococo:3},,,,,,,,,,,,,,
Michel Aubert after Jean-Baptiste Oudry,,,{Rococo:1},,,,,,,,,,,,,,
Pierre Francois Martenasie after Jean-Baptiste Oudry,,,{Rococo:2},,,,,,,,,,,,,,
René Gaillard after Jean-Baptiste Greuze,,,{Rococo:1},,,,,,,,,,,,,,
Johann Christoph Teucher after Jean-Baptiste Oudry,,,{Rococo:2},,,,,,,,,,,,,,
Pierre Chenu after Jean-Baptiste Oudry,,,{Rococo:1},,,,,,,,,,,,,,
Laurent Cars after Antoine Watteau,,,{Rococo:1},,,,,,,,,,,,,,
Benoît Audran II after Antoine Watteau,,,{Rococo:1},,,,,,,,,,,,,,
René Gaillard after François Boucher,,,{Rococo:2},,,,,,,,,,,,,,
Jacques-Firmin Beauvarlet after François-Hubert Drouais,,,{Rococo:1},,,,,,,,,,,,,,
Jacques Couché and Jean Dambrun after Jean-Honoré Fragonard,,,{Rococo:2},,,,,,,,,,,,,,
Milanese 18th century and Francesco Londonio,,,{Rococo:1},,,,,,,,,,,,,,
Milanese 18th century,,,{Rococo:2},,,,,,,,,,,,,,
Utagawa Hiroshige (Ando) (Japanese,,,{Ukiyo-e:1},,,,,,1856.0,1857.0,,,,,,No,
Artist: Yashima Gakutei,,,{Ukiyo-e:1},,,,,,,,,,,,,,
Jacques-Firmin Beauvarlet after François Boucher,,,{Rococo:2},,,,,,,,,,,,,,
James McArdell after Sir Joshua Reynolds,,,{Rococo:2},,,,,,,,,,,,,,
Jean Ouvrier after François Boucher,,,{Rococo:1},,,,,,,,,,,,,,
Pierre-Michel Alix after Élisabeth-Louise Vigée Le Brun,,,{Rococo:1},,,,,,,,,,,,,,
Laurent Guyot after Hubert Robert,,,{Rococo:2},,,,,,,,,,,,,,
Donato Creti,,,"{Rococo:1},{Bolognese School:1}",,,,,,,,,,,,,,
Richard Cooper II,,,"{Rococo:2},{Academic art:1}",,,,,,,,,,,,,,
Claude-Donat Jardinier after Jean-Baptiste Greuze,,,{Rococo:1},,,,,,,,,,,,,,
French 18th Century after Jean-Baptiste Oudry,,,{Rococo:1},,,,,,,,,,,,,,
Paul Troger,,,"{Rococo:5},{Baroque:5}",,,,,,1727.0,1755.0,,,,,,No,
Lydia Bates after John Hamilton Mortimer,,,"{Rococo:1},{Neoclassicism:1}",,,,,,,,,,,,,,
Fabio Berardi after Canaletto,,,{Rococo:2},,,,,,,,,,,,,,
William Wynne Ryland after François Boucher,,,{Rococo:1},,,,,,,,,,,,,,
Jean Godefroy after Jean-Honoré Fragonard,,,{Rococo:2},,,,,,,,,,,,,,
Pierre Charles Levesque after François Boucher,,,{Rococo:1},,,,,,,,,,,,,,
Louis Gerard Scotin after William Hogarth,,,{Rococo:2},,,,,,,,,,,,,,
Simon Francois Ravenet I after William Hogarth,,,{Rococo:2},,,,,,,,,,,,,,
John Bell,,,{Rococo:2},,,,,,,,,,,,,,
Louis Carrogis,,,{Rococo:2},,,,,,,,,,,,,,
Bernard Baron after William Hogarth,,,{Rococo:3},,,,,,,,,,,,,,
Etienne Fessard after Jean Siméon Chardin,,,{Rococo:1},,,,,,,,,,,,,,
Simon Francois Ravenet I and Victor Marie Picot after William Hogarth,,,{Rococo:1},,,,,,,,,,,,,,
After William Hogarth,,,{Rococo:1},,,,,,,,,,,,,,
Jean Massard after Jean-Baptiste Greuze,,,{Rococo:2},,,,,,,,,,,,,,
after Thomas Rowlandson,,,{Rococo:1},,,,,,,,,,,,,,
Jean-Louis Delignon and Antoine-Jean Duclos after Jean-Honoré Fragonard,,,"{Rococo:5},{Renaissance:1}",,,,,,,,,,,,,,
Simon Charles Miger after Adélaïde Labille-Guiard,,,{Rococo:1},,,,,,,,,,,,,,
Jean-Baptiste Tilliard and Antoine-Jean Duclos after Jean-Honoré Fragonard,,,{Rococo:2},,,,,,,,,,,,,,
Jean Claude Richard de Saint-Non after Jean-Honoré Fragonard (after Giovanni Benedetto Castiglione and Sebastiano Ricci),,,{Rococo:1},,,,,,,,,,,,,,
Etienne Claude Voysard after Jean-Honoré Fragonard,,,{Rococo:1},,,,,,,,,,,,,,
Pierre François Tardieu after Jean-Baptiste Oudry,,,{Rococo:2},,,,,,,,,,,,,,
Maurice Blot after Jean-Honoré Fragonard,,,{Rococo:2},,,,,,,,,,,,,,
Jacques Aliamet and Antoine-Jean Duclos after Jean-Honoré Fragonard,,,{Rococo:2},,,,,,,,,,,,,,
Pierre Filloeul after Jean Siméon Chardin,,,{Rococo:1},,,,,,,,,,,,,,
Nicolas Francois Regnault after Jean-Honoré Fragonard,,,"{Rococo:3},{Renaissance:2}",,,,,,,,,,,,,,
Jacques-Philippe Le Bas and Jean Eric Rehn after Jean-Baptiste Oudry,,,{Rococo:12},,,,,,,,,,,,,,
Samuel William Reynolds I after Sir Joshua Reynolds,,,{Rococo:1},,,,,,,,,,,,,,
John Keyse Sherwin after William Hogarth,,,{Rococo:1},,,,,,,,,,,,,,
Carlo Carlone,,,"{Rococo:1},{Renaissance:1}",,,,,,,,,,,,,,
Charles Grignion after William Hogarth,,,{Rococo:1},,,,,,,,,,,,,,
Giuseppe Filippo Liberati Marchi,,,{Rococo:1},,,,,,,,,,,,,,
Jean Moyreau,,,{Rococo:1},,,,,,,,,,,,,,
Robert Delaunay after Jean-Michel Moreau,,,{Rococo:5},,,,,,,,,,,,,,
Nicolas Delaunay after Jean-Honoré Fragonard,,,"{Rococo:16},{Renaissance:12}",,,,,,,,,,,,,,
Augustin de Saint-Aubin and Noël Pruneau after Jean-Baptiste Le Prince,,,{Rococo:1},,,,,,,,,,,,,,
